Frame Index,TAD
0,4832846
1,4819062
2,4858258
3,5098143
4,4848811
5,4879747
6,4836232
7,5256717
8,4911944
9,4876383
10,4816587
11,5260066
12,4808746
13,4778427
14,4828106
15,5260749
16,4850632
17,4837117
18,4757763
19,5331744
20,4856913
21,4824573
22,4816349
23,5340148
24,4837797
25,4763999
26,4874041
27,5386384
28,4856279
29,4842796
30,4679858
31,5287001
32,4761739
33,4802370
34,4763378
35,5341662
36,4654857
37,4696370
38,4728295
39,5191818
40,4726504
41,4784282
42,4752570
43,5175861
44,4755304
45,4743147
46,4685195
47,5223580
48,4657239
49,4698434
50,4778791
51,5223367
52,4850389
53,4871921
54,4781324
55,5287041
56,4758626
57,4767129
58,4799313
59,5442537
60,4749801
61,4751957
62,4730065
63,5158023
64,4728172
65,4743250
66,4664056
67,5197918
68,4799699
69,4783506
70,4797506
71,5239196
72,4770186
73,4685832
74,4632850
75,5084055
76,4600207
77,4627278
78,4573109
79,5370535
80,4806298
81,4749908
82,4745951
83,5438676
84,4819508
85,4799151
86,4914258
87,5395450
88,4900798
89,4868305
90,4688229
91,5291081
92,4725330
93,4726384
94,4633301
95,5242313
96,4671900
97,4711295
98,4693433
99,5086016
100,4675133
101,4717290
102,4724593
103,5224422
104,4676825
105,4693847
106,4644768
107,5173546
108,4695147
109,4642363
110,4692945
111,5166131
112,4544322
113,4564606
114,4545110
115,5124599
116,4513995
117,4510794
118,4447232
119,5159516
120,4506868
121,4469044
122,4516680
123,5057681
124,4470322
125,4615594
126,4380464
127,5186765
128,4507075
129,4463479
130,4495462
131,5106817
132,4504715
133,4449169
134,4487357
135,5043915
136,4619398
137,4565319
138,4544756
139,5158919
140,4621290
141,4563342
142,4562320
143,5171607
144,4670531
145,4624493
146,4627336
147,5159900
148,4567931
149,61276163
150,1272483
151,1365954
152,1395796
153,4438240
154,1247076
155,1272175
156,1324290
157,4660975
158,1149754
159,1622023
160,874352
161,4356012
162,1197380
163,1356225
164,1549060
165,4703145
166,1408877
167,1456749
168,1214762
169,4760212
170,1334503
171,1381289
172,1485234
173,4323156
174,1378407
175,1455324
176,1358238
177,4467723
178,1637247
179,1810164
180,1444591
181,4668631
182,1430361
183,1532036
184,1817593
185,4875475
186,1356141
187,2176328
188,1349968
189,4451229
190,1286264
191,1391479
192,1587761
193,4596332
194,1255333
195,1337808
196,1251653
197,4373670
198,1274779
199,1519074
200,1248776
201,4237757
202,1209328
203,1303716
204,1123071
205,4494609
206,1168213
207,1266990
208,1200379
209,4597112
210,1202061
211,1317122
212,1246076
213,4551053
214,1303438
215,1343297
216,1371506
217,4829697
218,1290073
219,1375850
220,1571903
221,4385688
222,1421759
223,1541614
224,1332303
225,4582719
226,1339246
227,1402653
228,1357129
229,4730450
230,1265076
231,1851765
232,1241971
233,4271147
234,1422652
235,1580894
236,1492152
237,4648608
238,1517678
239,1669513
240,1423282
241,4654411
242,1453606
243,1580860
244,1432112
245,4795264
246,1338531
247,2055711
248,1461939
249,4845862
250,1372908
251,1508201
252,1482738
253,4696200
254,1460407
255,1596505
256,1493838
257,4470842
258,1575790
259,1711912
260,1461509
261,4631218
262,1336570
263,1431725
264,1506094
265,4771706
266,1382352
267,1532812
268,1394032
269,4755622
270,1586164
